                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.759,                 2.6212,                 1.8053,                0.67865,                0.73545,                0.69037,                0.47293,                  1.198,                  1.796,                 1.3652,             0.00052359,             0.00052359,             0.00052359
                     35,                 1.8242,                 2.6551,                 1.8217,                0.67131,                 0.7239,                0.71418,                0.48532,                 1.1878,                 1.7232,                 1.3808,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.7224,                 2.6205,                 1.7615,                0.66853,                0.74339,                0.73495,                0.54799,                 1.0393,                 1.4733,                 1.2749,               0.000467,               0.000467,               0.000467
                     37,                 1.8677,                 2.7046,                 1.8274,                0.66713,                0.78657,                0.77406,                0.58832,                 1.0063,                 1.5096,                 1.2456,              0.0004387,              0.0004387,              0.0004387
                     38,                  1.744,                 2.4939,                 1.7695,                0.66865,                0.77496,                0.77476,                0.59407,                0.99988,                 1.5187,                 1.2489,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.7484,                 2.5238,                 1.7657,                0.64136,                0.75944,                0.70528,                0.58622,                0.96707,                 1.5033,                 1.2471,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.6851,                 2.4444,                  1.696,                0.64675,                0.70716,                0.68499,                0.53962,                0.95752,                 1.4991,                  1.242,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.7252,                 2.6636,                 1.8489,                0.64133,                0.59181,                0.63405,                0.49374,                0.99602,                 1.7207,                 1.2664,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.7213,                 2.6431,                 1.8415,                0.60317,                0.62299,                0.62164,                 0.4576,                 1.0616,                 2.0312,                 1.3147,             0.00029723,             0.00029723,             0.00029723
                     43,                  1.745,                 2.6289,                 1.8491,                0.56021,                0.62692,                0.62259,                0.44066,                 1.0846,                 2.1328,                 1.3272,             0.00026894,             0.00026894,             0.00026894
                     44,                 1.7143,                 2.5973,                 1.8326,                0.60447,                0.49206,                0.62266,                0.46506,                 1.0593,                 2.0852,                 1.3133,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.6669,                 2.5516,                 1.7878,                0.73868,                0.62822,                0.66638,                 0.4997,                  1.001,                 1.8769,                   1.28,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.7315,                  2.605,                 1.8693,                0.71629,                0.65073,                0.67015,                  0.513,                0.97126,                 1.7973,                 1.2643,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.6666,                 2.5246,                 1.7812,                0.71402,                0.71708,                0.70762,                0.53205,                0.93497,                 1.7237,                 1.2365,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.6267,                  2.491,                   1.79,                0.70726,                0.71318,                0.71925,                0.54868,                0.92539,                 1.7048,                 1.2237,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.6339,                 2.5176,                  1.795,                0.64848,                0.77996,                0.72019,                0.55472,                0.92963,                 1.6988,                  1.225,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.6275,                 2.5567,                 1.7837,                0.67448,                0.81277,                0.74538,                0.56211,                0.91432,                 1.6885,                 1.2123,             7.0878e-05,             7.0878e-05,             7.0878e-05
